Removed Pin From Net: NetName=VCC Pin=IC3-5
Removed Pin From Net: NetName=VCC Pin=IC3-6
Removed Pin From Net: NetName=VCC Pin=IC3-7
Removed Pin From Net: NetName=VCC Pin=IC3-8
Removed Pin From Net: NetName=GND Pin=IC4-4
Removed Pin From Net: NetName=NetIC3_4 Pin=IC4-7
Removed Pin From Net: NetName=VCC Pin=IC5-1
Removed Pin From Net: NetName=GND Pin=IC5-4
Removed Pin From Net: NetName=NetIC2_4 Pin=IC5-7
Removed Pin From Net: NetName=NetIC3_1 Pin=IC7-5
Removed Pin From Net: NetName=NetIC3_1 Pin=IC7-6
Removed Pin From Net: NetName=NetIC3_1 Pin=IC7-7
Removed Pin From Net: NetName=NetIC3_1 Pin=IC7-8
Removed Pin From Net: NetName=GND Pin=IC?-2
Removed Pin From Net: NetName=+3.3 Pin=IC?-5
Removed Member From Class: ClassName=Motor_Control Member=IC6
Removed Member From Class: ClassName=Motor_Control Member=IC7
Removed Member From Class: ClassName=Motor_Control Member=IC?
Removed Member From Class: ClassName=Motor_Control Member=R?
Change Component Footprint: Designator=IC4 Old Footprint=INFINEON PG-DSO-8 New Footprint=INFINEON PG-TDSON-8 6.15X5.32MM
Change Component Footprint: Designator=IC5 Old Footprint=INFINEON PG-DSO-8 New Footprint=INFINEON PG-TDSON-8 6.15X5.32MM
Change Component Comment : Designator=IC4 Old Comment=2EDL05N06PFXUMA1 New Comment=BSC027N04LSGATMA1
Change Component Comment : Designator=IC5 Old Comment=2EDL05N06PFXUMA1 New Comment=BSC027N04LSGATMA1
Change Component Comment : Designator=R13 Old Comment=10 mOhms New Comment=50 mOhms
Change component parameters: Designator = "R13" ("R13"); Footprint = "RES 0603_1608"; UniqueID = "\CJGNOTVT" ("\CJGNOTVT")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.koaspeer.com/catimages/Products/UR73/UR73.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/koa-speer-electronics-inc/UR73D1JTTD50L0F/2019-UR73D1JTTD50L0FCT-ND/9847720"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Current Sense"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.018" (0.45mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "9/2/2020 1:09:33 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KOA Speer Electronics, Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "UR73D1JTTD50L0F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "25317"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power (Watts)"; Value = "0.25W, 1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "50 mOhms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "UR73"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2019-UR73D1JTTD50L0FCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "50 mOhms"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC4" ("IC4"); Footprint = "INFINEON PG-DSO-8"; UniqueID = "\KRGTGRWX" ("\KRGTGRWX")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.infineon.com/dgdl/BSC027N04LSG_rev1.04.pdf?folderId=db3a3043156fd5730115c7d50620107c&fileId=db3a30431689f4420116c4323646080c"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/infineon-technologies/BSC027N04LSGATMA1/BSC027N04LSGATMA1CT-ND/2231028"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Continuous Drain (Id) @ 25°C"; Value = "24A (Ta), 100A (Tc)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "40V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drive Voltage (Max Rds On,  Min Rds On)"; Value = "4.5V, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FET Type"; Value = "N-Channel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate Charge (Qg) (Max) @ Vgs"; Value = "85nC @ 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance (Ciss) (Max) @ Vds"; Value = "6800pF @ 20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "9/2/2020 1:27:16 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Infineon Technologies"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "8-PowerTDFN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "BSC027N04LSGATMA1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation (Max)"; Value = "2.5W (Ta), 83W (Tc)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.59"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On (Max) @ Id, Vgs"; Value = "2.7mOhm @ 50A, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "OptiMOS™"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "PG-TDSON-8-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "BSC027N04LSGATMA1CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "MOSFET (Metal Oxide)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs (Max)"; Value = "±20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vgs(th) (Max) @ Id"; Value = "2V @ 49µA"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC5" ("IC5"); Footprint = "INFINEON PG-DSO-8"; UniqueID = "\IQCFXPBL" ("\IQCFXPBL")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.infineon.com/dgdl/BSC027N04LSG_rev1.04.pdf?folderId=db3a3043156fd5730115c7d50620107c&fileId=db3a30431689f4420116c4323646080c"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/infineon-technologies/BSC027N04LSGATMA1/BSC027N04LSGATMA1CT-ND/2231028"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Continuous Drain (Id) @ 25°C"; Value = "24A (Ta), 100A (Tc)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "40V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drive Voltage (Max Rds On,  Min Rds On)"; Value = "4.5V, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FET Type"; Value = "N-Channel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate Charge (Qg) (Max) @ Vgs"; Value = "85nC @ 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance (Ciss) (Max) @ Vds"; Value = "6800pF @ 20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "9/2/2020 1:27:16 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Infineon Technologies"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "8-PowerTDFN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "BSC027N04LSGATMA1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation (Max)"; Value = "2.5W (Ta), 83W (Tc)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.59"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On (Max) @ Id, Vgs"; Value = "2.7mOhm @ 50A, 10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "OptiMOS™"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
